Controller,Trial,InitialPositionm,InitialVelocitymps,InitialAngleDeg,InitialAngularRateRadps,Success,SurvivalTimeS,AngleRMSEDeg,PositionRMSEm,ControlEnergyN2s
MPC,22,-0.378594561410012,0.190364944802903,5.69097145347633,0.113777102078635,1,10,0.78419454582315,0.127270641480166,16.4135932506355
MPC,23,-0.268093630114017,-0.199041130865102,3.84290422024782,-0.0448244263363964,1,10,0.664295989012275,0.141318920328744,6.09091858382432
MPC,24,0.142896949775171,-0.016932581664609,6.64843859521794,0.123172936476515,1,10,0.872654743687359,0.143205780369286,20.2654998658319
MPC,25,-0.264066399227087,-0.179829638439848,-3.46338606960201,0.268092714457597,1,10,0.512951439467844,0.124633185184862,12.7635039361717
MPC,26,0.466865769521486,0.0607282925834481,-5.3118945490512,-0.266357911668491,1,10,0.717013448182566,0.134213936335501,14.986184518557
MPC,27,-0.350832866926648,0.198519732643512,-4.28080985202178,-0.0605217655829855,1,10,0.592458299958626,0.136241737437351,14.5581785427278
MPC,28,-0.453103560502506,-0.014726984826808,5.14523476966703,-0.207071684509551,1,10,0.783356416469078,0.177409324174883,7.19424098054896
MPC,29,-0.029548853387146,-0.0511446772148436,5.64242541676418,0.260723680472952,1,10,0.743705076500497,0.102024275261273,18.9398368994646
MPC,30,0.182577483172924,0.064749021494834,-6.50413871633225,0.117563178368505,1,10,0.60103292978237,0.0584299297575682,14.7835847057903
PPO,1,-0.280654365073077,0.151753263675519,2.77804198522711,0.0585181560656863,1,10,0.889936374319215,0.118603784508923,0.536433813977031
PPO,2,-0.0869882631213328,0.0731681488731405,1.56113813290235,0.278427576258667,1,10,1.09061580892222,0.230880973223118,1.10475333168767
PPO,3,0.476635478160301,0.0081146493734025,1.40012511180369,0.129608898700069,1,10,0.991950246725885,0.336242615363348,0.80199604148782
PPO,4,-0.411100978351871,-0.0131977765930676,-6.45083131853546,-0.264939249069674,0,1.6,5.24934303601728,1.00244747040567,2.17810246656536
PPO,5,-0.0207101403198184,-0.0970397599561874,7.95837542072207,0.0603772652285522,1,10,1.75656076095364,0.268076166379633,2.5186693880548
PPO,6,0.48755049423767,0.0032113122799334,2.19569559818687,0.284682692606237,1,10,1.38113773197117,0.547612326773248,1.74868831087072
PPO,7,-0.301858910981082,0.0297879170455993,-4.23617073870706,0.255121343229839,1,10,0.669552578916673,0.127989315351462,0.122217181747828
PPO,8,0.411715181845275,-0.00394324572742438,6.57627243863308,0.0675394115285242,1,10,1.62143959250149,0.480683120152515,2.32385070057571
PPO,9,0.0582501148658583,-0.117127999914098,-5.30868119193748,0.234358982793413,1,10,0.816225042362836,0.0914705430569008,0.225114117618506
PPO,10,0.283229468475761,-0.0196465758103432,-2.5396764563978,-0.178440944607794,1,10,0.836558250089699,0.193792847295919,0.686252502710696
PPO,11,-0.197523410380451,0.175971544283581,0.544632010222029,0.259276655488745,1,10,1.01111530975939,0.203229137201491,0.791142724396137
PPO,12,-0.102699006513766,-0.0752985102229931,-2.09832345905964,-0.117765219468876,1,10,0.743423619796821,0.255240983227684,0.51811527536776
PPO,13,-0.204032685309577,-0.190798972641523,0.0793158157915013,0.259364020264769,1,10,0.534936616796965,0.0816594919594645,0.351448262836127
PPO,14,0.3940884610145,-0.100361663376337,-0.509233008470829,-0.0401175404644149,1,10,0.655871958918676,0.179150584971543,0.196864465627769
PPO,15,-0.451824897287147,-0.115606623628174,-3.72057111427092,-0.105709660081422,1,10,1.41213648379024,0.44739360731077,1.3394861211069
PPO,16,-0.0549323572364145,-0.118949311085355,3.29538472335577,0.0852236743875145,1,10,0.719648244344932,0.0567654916109417,0.562570234021929
PPO,17,0.0618938892024055,0.0683989354093291,-6.28649345532894,0.0829115281109691,1,10,1.13230189194393,0.146034600277834,0.679435567414383
PPO,18,-0.136285369734338,0.0968981775898864,-5.34018257704605,0.0977721896581794,1,10,0.935442030786209,0.141708282078736,0.446224774045957
PPO,19,0.194493079949288,0.141820939765383,5.11073721346713,0.0580900330203115,1,10,1.37539747767039,0.36764968365717,1.65284321875245
PPO,20,0.423368082043619,-0.166260485583121,4.02270711742936,-0.0186397326731431,1,10,0.925650880480943,0.224905972630777,0.859484284875706
PPO,21,-0.469406932457783,-0.132016183805124,-3.53211894561712,0.250932920966842,1,10,0.641741320834128,0.290407667955487,0.150037426660772
PPO,22,-0.378594561410012,0.190364944802903,5.69097145347633,0.113777102078635,1,10,1.56258776463989,0.274975522714808,1.84297874110352
PPO,23,-0.268093630114017,-0.199041130865102,3.84290422024782,-0.0448244263363964,1,10,0.753084362889899,0.138597374608242,0.315461138824438
PPO,24,0.142896949775171,-0.016932581664609,6.64843859521794,0.123172936476515,1,10,1.67871989157781,0.384368318518521,2.54292217057643
PPO,25,-0.264066399227087,-0.179829638439848,-3.46338606960201,0.268092714457597,1,10,0.632105291906323,0.181706690128843,0.155273775098931
PPO,26,0.466865769521486,0.0607282925834481,-5.3118945490512,-0.266357911668491,1,10,1.40567054781811,0.379720866731146,1.98197922241758
PPO,27,-0.350832866926648,0.198519732643512,-4.28080985202178,-0.0605217655829855,1,10,0.935036307532541,0.2685261159281,0.67466046506505
PPO,28,-0.453103560502506,-0.014726984826808,5.14523476966703,-0.207071684509551,1,10,0.821413020539015,0.175309719318451,0.229993296071555
PPO,29,-0.029548853387146,-0.0511446772148436,5.64242541676418,0.260723680472952,1,10,1.81919260533617,0.412334346194565,2.98693133180567
PPO,30,0.182577483172924,0.064749021494834,-6.50413871633225,0.117563178368505,1,10,1.12276136084046,0.108905391356517,0.581819593213941
