time,position,positionVelocity,angle,angleVelocity,angleReference,force
3.52,-0.0597463381831524,-0.00971780356414328,0.00310092407798979,-0.00366209249184013,0.00200475307773744,0.0305548957321706
3.54,-0.0599351735608776,-0.00916556087712057,0.00302844656456804,-0.00358947216702706,0.00196302856256518,0.0298203290694377
3.56,-0.0601130970896626,-0.00862662211445864,0.00295740929587282,-0.00351799224206792,0.00192219442282934,0.0291010445037232
3.58,-0.0602803720715892,-0.00810070958118288,0.0028877895114169,-0.00344764916353038,0.00188223356416504,0.0283967662532335
3.6,-0.0604372563053899,-0.0075875506375353,0.00281956453075791,-0.00337843847614353,0.00184312914375967,0.0277072216565596
3.62,-0.0605840021869558,-0.00708687763936494,0.00275271177089355,-0.0033103548860475,0.0018048645707151,0.0270321412428155
3.64,-0.0607208568086411,-0.00659842787739006,0.00268720876242464,-0.00324339232080618,0.00176742350612481,0.0263712587938443
3.66,-0.0608480620573423,-0.0061219435154699,0.0026230331645496,-0.00317754398632936,0.00173078986288467,0.0257243113989357
3.68,-0.0609658547113357,-0.00565717152801565,0.0025601627789505,-0.00311280242084415,0.00169494780525574,0.025091039502478
3.7,-0.0610744665358541,-0.0052038636366631,0.00249857556262841,-0.00304915954604935,0.00165988174819587,0.0244711869449551
3.72,-0.0611741243773916,-0.00476177624632212,0.00243824963974308,-0.00298660671558059,0.00162557635647678,0.0238645009976779
3.74,-0.0612650502567247,-0.00433067038071137,0.00237916331250951,-0.00292513476090854,0.00159201654360172,0.0232707323916265
3.76,-0.0613474614606388,-0.00391031161748,0.0023212950712015,-0.00286473403478737,0.00155918747053864,0.0226896353407611
3.78,-0.061421570632355,-0.00350047002301164,0.00226462360331003,-0.00280539445236555,0.00152707454428259,0.0221209675601436
3.8,-0.0614875858606502,-0.00310092008700054,0.00220912780190218,-0.00274710553006644,0.0014956634162605,0.0215644902791976
3.82,-0.0615457107676677,-0.00271144065688304,0.00215478677322414,-0.00268985642234166,0.00146493998059087,0.0210199682504172
3.84,-0.0615961445954152,-0.00233181487220317,0.00210157984358971,-0.00263363595639572,0.00143489037220995,0.020487169753823
3.86,-0.0616390822909506,-0.00196183009898498,0.0020494865655941,-0.00257843266497661,0.00140550096487567,0.0199658665974446
3.88,-0.0616747145902561,-0.00160127786418,0.00199848672369068,-0.0025242348173228,0.00137675836905964,0.0194558341141007
3.9,-0.0617032281008025,-0.00124995379025311,0.0019485603391666,-0.00247103044835348,0.00134864942973722,0.0189568511547296
3.92,-0.0617248053828069,-0.000907657529965664,0.00189968767455174,-0.00241880738618523,0.00132116122408488,0.0184687000785114
3.94,-0.0617396250291892,-0.0005741927014108,0.00185184923749345,-0.00236755327805472,0.00129428105909366,0.0179911667400135
3.96,-0.0617478617442319,-0.00024936682335136,0.00180502578412837,-0.0023172556147239,0.00126799646910696,0.017524040473573
3.98,-0.0617496864209502,6.70087490925161e-05,0.00175919832198075,-0.00226790175344071,0.00124229521329053,0.0170671140751237
4,-0.0617452662171804,0.000375118888362909,0.00171434811241562,-0.00221947893952531,0.00121716527304175,0.0166201837816606
4.02,-0.0617347646303927,0.000675144757950831,0.00167045667267343,-0.00217197432664891,0.00119259484934533,0.0161830492485272
4.04,-0.0617183415712414,0.000967263875413447,0.00162750577751187,-0.00212537499586936,0.00116857236008164,0.0157555135246971
4.06,-0.061696153435857,0.00125165017488815,0.00158547746047891,-0.00207966797348482,0.0011450864372939,0.0153373830262154
4.08,-0.0616683531768959,0.00152847406907269,0.00154435401484018,-0.00203484024776434,0.0011221259244198,0.0149284675079533
4.1,-0.0616350903733543,0.00179790251064325,0.00150411799418262,-0.00199087878461151,0.00109967987349286,0.0145285800338221
4.12,-0.0615965112991607,0.00206009905308487,0.00146475221271512,-0.00194777054221482,0.00107773754231864,0.0141375369455842
4.14,-0.0615527589905572,0.00231522391091108,0.00142623974528594,-0.00190550248473614,0.00105628839163025,0.0137551578303896
4.16,-0.0615039733122834,0.00256343401925184,0.00138856392713558,-0.00186406159508637,0.00103532208222779,0.0133812654871606
4.18,-0.0614502910225745,0.00280488309279083,0.00135170835340302,-0.00182343488683512,0.00101482847210551,0.0130156858919384
4.2,-0.0613918458369876,0.00303972168403539,0.00131565687840201,-0.00178360941529911,0.00099479761357075,0.0126582481622998
4.22,-0.0613287684910694,0.00326809724090414,0.00128039361468349,-0.00174457228785214,0.000975219750357986,0.0123087845209456
