time,position,positionVelocity,angle,angleVelocity,force,calculationTime,predictedCost,solverIterations
4.96,-0.0879864658543423,0.0519996773885122,0.0041864974139199,-0.00591572157978216,0.0445997926130204,0.001935,69.0434111874368,1
4.98,-0.0869383646626836,0.0528107246514547,0.0040682140165138,-0.00591884145709285,0.0432613834731583,0.002195,66.5145023423845,1
5,-0.0858742867124012,0.0535973533559772,0.00394988669030564,-0.00592011676949548,0.0419233272881812,0.001997,64.0225761619574,1
5.02,-0.0847947203012708,0.0543595707536059,0.00383155212373765,-0.00591956587235584,0.0405860303330101,0.002239,61.5692419981935,1
5.04,-0.083700153508008,0.0550973914997244,0.00371324663459391,-0.00591720749562629,0.0392498944642412,0.002053,59.156036530893,1
5.06,-0.0825910740449994,0.0558108375727323,0.00359500616262407,-0.00591306073268913,0.0379153169418842,0.001779,56.7844232941101,1
5.08,-0.0814679691126849,0.0564999381898313,0.0034768662624194,-0.00590714502626765,0.036582690889567,0.00187,54.4557923020778,1
5.1,-0.0803313252555332,0.0571647297318904,0.00335886209641369,-0.00589948017002214,0.035252404355937,0.001777,52.1714597730086,1
5.12,-0.0791816282197019,0.0578052556500962,0.00324102842810497,-0.0058900862848577,0.0339248411004647,0.001706,49.9326679491249,1
5.14,-0.0780193628124105,0.0584215663880315,0.00312339961550016,-0.00587898382031724,0.0326003800550225,0.002068,47.7405850111702,1
5.16,-0.0768450127629761,0.0590137192933408,0.0030060096046688,-0.0058661935422704,0.0312793952802295,0.002215,45.5963050856109,1
5.18,-0.0756590605856235,0.0595817785286347,0.00288889192353573,-0.00585173652131668,0.0299622559690889,0.002041,43.5008483426201,1
5.2,-0.0744619874440747,0.0601258149825525,0.00277207967588539,-0.00583563412321525,0.0286493264651781,0.002053,41.4551611828884,1
5.22,-0.0732542730179144,0.0606459061812647,0.00265560553553342,-0.00581790800170759,0.0273409660880262,0.001789,39.4601165112288,1
5.24,-0.0720363953707567,0.0611421361966494,0.0025395017406748,-0.0057985800880384,0.0260375290385255,0.001783,37.516514094883,1
5.26,-0.0708088308202679,0.0616145955527036,0.00242380008845166,-0.00577767257945373,0.0247393645335379,0.001762,35.6250810043704,1
5.28,-0.0695720538100326,0.0620633811346565,0.00230853192969481,-0.00575520793331893,0.0234468164639239,0.001712,33.7864721346676,1
5.3,-0.0683265367833041,0.0624885960914846,0.0021937281638667,-0.00573120885285613,0.0221602237074094,0.001703,32.001270804453,1
5.32,-0.0670727500586426,0.0628903497446023,0.00207941923418222,-0.00570569828359749,0.020879919721132,0.00217,30.2699894310994,1
5.34,-0.0658111617074588,0.0632687574886706,0.00196563512290466,-0.00567869939942721,0.0196062326762458,0.002158,28.5930702790572,1
5.36,-0.0645422374335137,0.0636239406950983,0.00185240534686669,-0.00565023559400604,0.0183394854106282,0.002056,26.9708862792231,1
5.38,-0.0632664404543574,0.0639560266146831,0.00173975895316292,-0.00562033047219498,0.0170799953524821,0.001997,25.4037419168527,1
5.4,-0.0619842313847294,0.0642651482788225,0.00162772451502285,-0.00558900784057121,0.0158280745130597,0.001877,23.8918741855463,1
5.42,-0.0606960681219357,0.06455144440064,0.00151633012786294,-0.00555629169900192,0.0145840293011261,0.001771,22.4354536048011,1
5.44,-0.059402405733238,0.0648150592725469,0.00140560340554916,-0.0055222062279999,0.0133481607339618,0.001766,21.0345852985991,1
5.46,-0.0581036963452517,0.0650561426679725,0.00129557147683925,-0.00548677578339965,0.0121207641499623,0.001733,19.689310132473,1
5.48,-0.0568003890353628,0.0652748497375369,0.0011862609820044,-0.00545002488371755,0.0109021294050891,0.002162,18.3996059064801,1
5.5,-0.0554929297251848,0.0654713409091035,0.00107769806963591,-0.00541197820429303,0.00969254065822867,0.00221,17.1653886014907,1
5.52,-0.0541817610760539,0.0656457817836881,0.000969908393621935,-0.00537266056612915,0.00849227644395256,0.001994,15.9865136761908,1
5.54,-0.0528673223865927,0.0657983430328298,0.000862917110316739,-0.00533209692778293,0.0073016095561016,0.001907,14.8627774121856,1
5.56,-0.0515500494923485,0.065929200293729,0.000756748875897592,-0.00529031237471165,0.00612080712054563,0.001858,13.7939183045861,1
5.58,-0.0502303746675138,0.0660385340658418,0.00065142784390526,-0.00524733211155066,0.00495013056971771,0.001733,12.779618495459,1
5.6,-0.0489087265287205,0.0661265296070123,0.000546977662938829,-0.00520318145439626,0.0037898354607151,0.00179,11.8195052475203,1
5.62,-0.0475855299409454,0.0661933768260864,0.000443421474551033,-0.00515788581846158,0.00264017172268183,0.001685,10.9131524554581,1
5.64,-0.0462612059255161,0.0662392701803814,0.000340781911311652,-0.00511147071360535,0.00150138332575267,0.001867,10.060082192275,1
5.66,-0.0449361715702307,0.0662644085667237,0.000239081095051262,-0.00506396173075764,0.000373708575729381,0.002263,9.25976628805302,1
5.68,-0.0436108399416002,0.0662689952182582,0.000138340635284933,-0.00501538453749046,-0.00074262010783599,0.002094,8.5116279385548,1
5.7,-0.0422856199991966,0.066253237596951,3.85816277846204e-05,-0.00496576486756964,-0.00184737610069163,0.001831,7.81504334109353,1
5.72,-0.0409609165121335,0.0662173472878847,-6.0175346670392e-05,-0.00491512851358892,-0.00294033875578492,0.00196,7.16934335512003,1
5.74,-0.0396371299776967,0.0661615398900212,-0.000157910223346255,-0.00486350131464559,-0.00402129307584431,0.001692,6.57381518499859,1
5.76,-0.0383146565420947,0.066086034913368,-0.000254603454459769,-0.00481090915390246,-0.00509003013174691,0.001896,6.02770408246571,1
5.78,-0.0369938879233474,0.0659910556679914,-0.000350236009915128,-0.00475737794417031,-0.00614634668053071,0.001789,5.53021506629595,1
5.8,-0.0356752113363205,0.0658768291604941,-0.000444789377866202,-0.00470293362486923,-0.00719004547826074,0.001719,5.0805146567229,1
5.82,-0.0343590094198909,0.0657435859843942,-0.000538245565128129,-0.00464760214999149,-0.00822093508357824,0.002021,4.67773262220158,1
5.84,-0.0330456601662664,0.065591560214342,-0.00063058709740675,-0.00459140948191245,-0.00923882988316649,0.002049,4.32096373612545,1
5.86,-0.0317355368524253,0.0654209892998423,-0.000721797019397399,-0.00453438158450855,-0.0102435502481839,0.002056,4.00926954115318,1
5.88,-0.0304290079737132,0.0652321139559254,-0.000811858894700413,-0.00447654441170192,-0.0112349223087094,0.001961,3.74168011883481,1
5.9,-0.0291264371795817,0.0650251780582151,-0.000900756805573083,-0.00441792390255118,-0.0122127781065373,0.002035,3.51719586226854,1
5.92,-0.0278281832114551,0.0648004285350126,-0.000988475352537802,-0.00435854597177229,-0.0131769555115042,0.001742,3.33478924956268,1
5.94,-0.0265345998427407,0.0645581152610047,-0.00107499965382369,-0.00429843650255792,-0.014127298152367,0.001967,3.19340661591842,1
5.96,-0.0252460358209497,0.0642984909523132,-0.00116031534468297,-0.00423762134122388,-0.0150636556387198,0.001777,3.09196992219835,1
5.98,-0.0239628348119619,0.0640218110572021,-0.00124440857653298,-0.00417612628512157,-0.0159858832772315,0.001798,3.02937851789094,1
6,-0.0226853353464206,0.0637283336523091,-0.00132726601593662,-0.00411397707855621,-0.0168938421771472,0.002247,3.00451089643112,1
6.02,-0.021413870768223,0.0634183193368026,-0.00140887484346696,-0.00405119940528014,-0.0177873992284603,0.002187,3.01622644088719,1
6.04,-0.0201487691851244,0.0630920311269476,-0.00148922275242435,-0.00398781888124435,-0.0186664272183279,0.001927,3.06336715807696,1
6.06,-0.0188903534214734,0.0627497343483801,-0.00156829794737034,-0.00392386104351229,-0.0195308044781868,0.002088,3.14475939922928,1
6.08,-0.0176389409730329,0.0623916965352458,-0.00164608914253828,-0.00385935134901596,-0.0203804151020321,0.001839,3.25921556536176,1
6.1,-0.0163948439638612,0.0620181873250554,-0.00172258556015018,-0.00379431516641191,-0.0212151490446431,0.001914,3.40553579559811,1
6.12,-0.015158369105316,0.0616294783515992,-0.00179777692853637,-0.00372877776450337,-0.0220349017723365,0.00174,3.58250963671216,1
6.14,-0.0139298176571313,0.0612258431446467,-0.00187165348011977,-0.00366276431026577,-0.0228395744230383,0.001807,3.78891769223634,1
6.16,-0.0127094853905324,0.0608075570264948,-0.00194420594930738,-0.00359629986154083,-0.0236290737699036,0.001945,4.02353324953345,1
6.18,-0.0114976625534131,0.0603748970091937,-0.00201542557023954,-0.00352940936010893,-0.0244033122322307,0.002011,4.28512388329064,1
6.2,-0.0102946338375709,0.0599281416915271,-0.0020853040743901,-0.00346211762371029,-0.0251622078536329,0.001942,4.57245303395262,1
6.22,-0.00910067834799828,0.0594675711563832,-0.00215383368800585,-0.00339444933792406,-0.025905683934603,0.001959,4.8842815596787,1
6.24,-0.00791606957415562,0.0589934668752566,-0.00222100712948271,-0.00332642905797992,-0.0266336694945366,0.001917,5.21936926045399,1
6.26,-0.00674107536324466,0.0585061116036983,-0.00228681760663477,-0.00325808119621134,-0.0273460990352632,0.001937,5.57647637306098,1
6.28,-0.00557595789552689,0.0580057892813389,-0.00235125881377268,-0.00318943001553645,-0.0280429124064412,0.001954,5.95436503567556,1
6.3,-0.00442097366161594,0.0574927849344951,-0.00241432492868175,-0.00312049962594079,-0.0287240548710415,0.001798,6.35180072091234,1
6.32,-0.00327637344173082,0.0569673845774554,-0.00247601060950098,-0.0030513139780774,-0.0293894771053473,0.001954,6.76755363620325,1
6.34,-0.00214240228692412,0.056429875113719,-0.00253631099146405,-0.0029818968558624,-0.0300391349515721,0.002273,7.20040009046436,1
6.36,-0.00101929950223743,0.0558805442420157,-0.00259522168355426,-0.00291227187526742,-0.0306729896579654,0.002156,7.64912382606043,1
6.38,9.2701368216119e-05,0.0553196803575911,-0.00265273876505445,-0.00284246247501816,-0.0312910077114665,0.002052,8.1125173151371,1
