time,position,positionVelocity,angle,angleVelocity,force,calculationTime
1,0.410853921569474,-0.00311749672046363,-0.0354397078716379,0.0329319658058378,-0.40918630361557,0.004555
1.02,0.410716783533177,-0.0105979029866993,-0.0347724779718673,0.03382615151858,-0.389218479394913,0.003868
1.04,0.410433836712386,-0.0176984087718547,-0.03409108118775,0.0343493976004593,-0.370476007461548,0.003712
1.06,0.410012438387165,-0.0244430702665328,-0.0334025410936475,0.0345408563040677,-0.352998703718185,0.003889
1.08,0.409459457911692,-0.0308566257245994,-0.032713107893697,0.0344387531828977,-0.336806297302246,0.004519
1.1,0.408781266881657,-0.036964114540423,-0.0320282804056159,0.0340800409229759,-0.321901470422745,0.003696
1.12,0.407983736330797,-0.042790555244251,-0.0313528341577931,0.0335001338659939,-0.308271646499634,0.002528
1.14,0.40707224002316,-0.0483606579233477,-0.0306908543692236,0.0327326849499897,-0.295891463756561,0.002521
1.16,0.40605166301943,-0.0536985843858515,-0.0300457727773448,0.0318094237806564,-0.284723699092865,0.002388
1.18,0.404926414865274,-0.0588277257879193,-0.029420407555121,0.0307600094766869,-0.274722069501877,0.003822
1.2,0.403700446686494,-0.0637705343217059,-0.0288170054814122,0.0296119523809441,-0.265832453966141,0.003083
1.22,0.402377271418161,-0.0685483781255084,-0.0282372854549076,0.0283905579249503,-0.257993817329407,0.002478
1.24,0.400959986761596,-0.0731814135875744,-0.027682482999288,0.0271188835914296,-0.251141250133514,0.002297
1.26,0.399451300108555,-0.0776885163210785,-0.0271533948809329,0.0258177706932637,-0.245205998420715,0.002324
1.28,0.397853554846448,-0.0820872120878354,-0.0266504232224767,0.0245058630371703,-0.240102678537369,0.002342
1.3,0.396168760545985,-0.0863933576225548,-0.0261736231243098,0.0231992372807855,-0.235761031508446,0.003831
1.32,0.394398623343619,-0.0906214403338726,-0.0257227485418893,0.0219119470891442,-0.232128113508224,0.002886
1.34,0.392544569908548,-0.0947849201748475,-0.0252972867714578,0.0206566187365588,-0.229132473468781,0.002477
1.36,0.390607771566269,-0.098895872119233,-0.0248964916057688,0.0194439885719087,-0.226703137159348,0.002392
1.38,0.388589171873629,-0.102964998527159,-0.0245194202976926,0.0182829845661315,-0.225266665220261,0.002392
1.4,0.386489416965524,-0.107011339969648,-0.0241648235002535,0.0171953548768999,-0.224791675806046,0.002868
1.42,0.384308778088077,-0.11105334578061,-0.0238310216790234,0.0162023927173569,-0.22451788187027,0.005043
1.44,0.382047305586932,-0.115094657168452,-0.0235161262454715,0.0153037212539821,-0.224589973688126,0.004169
1.46,0.379704948481086,-0.119141765688726,-0.0232182078348447,0.0145037970933671,-0.225367903709412,0.003525
1.48,0.377281455443041,-0.123208214917972,-0.0229351363881985,0.0138182436177681,-0.225706666707993,0.002365
1.5,0.374776527368246,-0.127285238942047,-0.0226647975206646,0.0132298691842708,-0.226051181554794,0.004879
1.52,0.37218995337077,-0.131372781320835,-0.0224052841192329,0.0127351273577553,-0.226354718208313,0.003867
1.54,0.369521532541527,-0.135469900622791,-0.0221547677337844,0.0123296941459142,-0.226575806736946,0.002626
1.56,0.366771090633752,-0.139574871825148,-0.0219115128532545,0.0120085947460558,-0.226679801940918,0.002549
1.58,0.363938494417124,-0.143685318057886,-0.0216738882311534,0.0117663720177465,-0.226636976003647,0.002315
1.6,0.361023663770621,-0.147798304991481,-0.0214403754321822,0.0115971960468332,-0.226423114538193,0.004357
1.62,0.358026581772452,-0.151910446748253,-0.0212095750377165,0.0114949888176956,-0.226008236408234,0.004468
1.64,0.354947304873544,-0.15601779163273,-0.020980213677194,0.0114532169071175,-0.226134389638901,0.003114
